Ship_Type,Ship_Mode_Detail,Segment,Country,City,State,County_or_State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin (%),Unit Selling Price (After Discount),Profit per Unit,Estimated List Price (Before Discount),Discount Impact (Revenue Lost Due to Discount)
Second,Class,Consumer,United,States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0%,41.9136,16%,130.98,20.9568,130.98,0
Second,Class,Consumer,United,States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0%,219.582,30%,243.98,73.194,243.98,0
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,30%,-1.0196,-1%,35.686,-0.5098,50.98,30.588
Standard,Class,Consumer,United,States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0%,240.2649,23%,348.21,80.0883,348.21,0
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,50%,-1665.0522,-54%,440.49,-237.8646,880.98,3083.43
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,20%,15.525,13%,41.4,5.175,51.75,31.05
First,Class,Corporate,United,States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,20%,123.4737,11%,156.792,17.6391,195.99,274.386
First,Class,Corporate,United,States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,60%,-147.963,-78%,38.184,-29.5926,95.46,286.38
Standard,Class,Corporate,United,States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,20%,16.5564,11%,36.792,4.1391,45.99,36.792
First,Class,Corporate,United,States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0%,19.7714,43%,22.99,9.8857,22.99,0
Standard,Class,Consumer,United,States,Dover,Delaware,19901,East,Technology,Accessories,45,3,0%,4.95,11%,15,1.65,15,0
Standard,Class,Consumer,United,States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0%,6.104,28%,10.9,3.052,10.9,0
Standard,Class,Corporate,United,States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,20%,62.988,38%,41.992,15.747,52.49,41.992
Standard,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,20%,-114.3912,-14%,103.992,-14.2989,129.99,207.984
Standard,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,20%,1.213,1%,48.52,0.6065,60.65,24.26
First,Class,Corporate,United,States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,60%,-5.8248,-60%,3.236,-1.9416,8.09,14.562
Second,Class,Consumer,United,States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,60%,-14.475,-75%,3.86,-2.895,9.65,28.95
Standard,Class,Consumer,United,States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0%,6.7966,34%,19.99,6.7966,19.99,0
Second,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0%,16.5354,31%,17.78,5.5118,17.78,0
Standard,Class,Consumer,United,States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,20%,-26.8758,-11%,39.816,-4.4793,49.77,59.724
Standard,Class,Consumer,United,States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,20%,-3.8385,-4%,34.12,-1.2795,42.65,25.59
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0%,165.3813,21%,262.51,55.1271,262.51,0
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0%,18.3456,39%,15.68,6.1152,15.68,0
